Position,Jan_IST,Feb_IST,Mär_IST,Apr_IST,Mai_IST,Jun_IST,Jul_FC,Aug_FC,Sep_FC,Okt_FC,Nov_FC,Dez_FC,FY_Total
Revenue,15200,14800,16500,15900,17200,18500,17500,16200,18500,19000,20200,21500,211000
COGS,-8800,-8550,-9500,-9200,-9950,-10700,-10100,-9400,-10700,-11000,-11700,-12400,-122000
Gross Profit,6400,6250,7000,6700,7250,7800,7400,6800,7800,8000,8500,9100,89000
OpEx,-3850,-3750,-4200,-4050,-4380,-4700,-4450,-4100,-4700,-4850,-5150,-5500,-53680
EBITDA,2550,2500,2800,2650,2870,3100,2950,2700,3100,3150,3350,3600,35320
D&A,-680,-680,-690,-690,-700,-710,-710,-710,-720,-720,-730,-750,-8490
EBIT,1870,1820,2110,1960,2170,2390,2240,1990,2380,2430,2620,2850,26830
Net Finance,-210,-210,-215,-212,-220,-228,-225,-220,-230,-232,-240,-250,-2692
EBT,1660,1610,1895,1748,1950,2162,2015,1770,2150,2198,2380,2600,24138
Tax,-498,-483,-569,-524,-585,-649,-605,-531,-645,-659,-714,-780,-7242
Net Income,1162,1127,1326,1224,1365,1513,1410,1239,1505,1539,1666,1820,16896
