Entity;Position;Category;Subcategory;Date;Value_CHF;Value_Type
Swiss AG;Cash and Equivalents;Assets;Current;2025-12-31;45200000;Actual
Swiss AG;Cash and Equivalents;Assets;Current;2024-12-31;38500000;Prior Year
Swiss AG;Trade Receivables;Assets;Current;2025-12-31;62800000;Actual
Swiss AG;Trade Receivables;Assets;Current;2024-12-31;55200000;Prior Year
Swiss AG;Inventories;Assets;Current;2025-12-31;48500000;Actual
Swiss AG;Inventories;Assets;Current;2024-12-31;42000000;Prior Year
Swiss AG;Property Plant Equipment;Assets;Non-current;2025-12-31;185000000;Actual
Swiss AG;Property Plant Equipment;Assets;Non-current;2024-12-31;165000000;Prior Year
Swiss AG;Intangible Assets;Assets;Non-current;2025-12-31;28500000;Actual
Swiss AG;Intangible Assets;Assets;Non-current;2024-12-31;24000000;Prior Year
Swiss AG;Share Capital;Equity;Equity;2025-12-31;50000000;Actual
Swiss AG;Share Capital;Equity;Equity;2024-12-31;50000000;Prior Year
Swiss AG;Retained Earnings;Equity;Equity;2025-12-31;125000000;Actual
Swiss AG;Retained Earnings;Equity;Equity;2024-12-31;98000000;Prior Year
Swiss AG;Bank Loans;Liabilities;Non-current;2025-12-31;85000000;Actual
Swiss AG;Bank Loans;Liabilities;Non-current;2024-12-31;78000000;Prior Year
Swiss AG;Trade Payables;Liabilities;Current;2025-12-31;52000000;Actual
Swiss AG;Trade Payables;Liabilities;Current;2024-12-31;45000000;Prior Year
Swiss AG;Other Payables;Liabilities;Current;2025-12-31;18000000;Actual
Swiss AG;Other Payables;Liabilities;Current;2024-12-31;15700000;Prior Year
