Monat;Direktvertrieb;Händler;Online;Key_Accounts;Export;Gesamt
Jan-25;4200;2800;1850;3500;2150;14500
Feb-25;3980;2650;1720;3280;1970;13600
Mär-25;4850;3200;2150;4100;2500;16800
Apr-25;4450;2950;1980;3750;2270;15400
Mai-25;4980;3300;2250;4200;2570;17300
Jun-25;5250;3480;2380;4450;2740;18300
Jul-25;4680;3100;2120;3950;2450;16300
Aug-25;4120;2750;1880;3480;2170;14400
Sep-25;5150;3420;2320;4350;2660;17900
Okt-25;5380;3580;2420;4550;2770;18700
Nov-25;5850;3880;2650;4950;3070;20400
Dez-25;6350;4200;2880;5350;3320;22100
Gesamt;59240;39310;26600;49910;30640;205700
Anteil %;28.8%;19.1%;12.9%;24.3%;14.9%;100%
