Month,New_Business_EUR_m,Recurring_EUR_m,Upsell_EUR_m,Total_EUR_m,New_Share_%,Recurring_Share_%
Jan-25,2.8,10.2,1.5,14.5,19.3%,70.3%
Feb-25,2.5,9.8,1.3,13.6,18.4%,72.1%
Mar-25,3.2,11.8,1.8,16.8,19.0%,70.2%
Apr-25,2.9,10.8,1.7,15.4,18.8%,70.1%
May-25,3.4,12.0,1.9,17.3,19.7%,69.4%
Jun-25,3.6,12.6,2.1,18.3,19.7%,68.9%
Jul-25,3.1,11.4,1.8,16.3,19.0%,69.9%
Aug-25,2.6,10.2,1.6,14.4,18.1%,70.8%
Sep-25,3.5,12.4,2.0,17.9,19.6%,69.3%
Oct-25,3.7,12.8,2.2,18.7,19.8%,68.4%
Nov-25,4.0,14.0,2.4,20.4,19.6%,68.6%
Dec-25,4.4,15.0,2.7,22.1,19.9%,67.9%
FY 2025,39.7,143.0,23.0,205.7,19.3%,69.5%
FY 2024,32.5,128.0,18.5,179.0,18.2%,71.5%
YoY Growth,22.2%,11.7%,24.3%,14.9%,,
