Position;Q1_2024;Q2_2024;Q3_2024;Q4_2024;Q1_2025;Q2_2025;Q3_2025;Q4_2025
Vorräte;28500;29200;30100;31500;33000;34200;35500;36200
  Rohstoffe;10200;10450;10780;11280;11820;12250;12720;12970
  Halbfertige Erzeugnisse;7410;7590;7830;8190;8580;8890;9230;9410
  Fertige Erzeugnisse;10890;11160;11490;12030;12600;13060;13550;13820
Forderungen aus LuL;32500;33800;34500;35800;37500;39200;41000;42500
  DSO (Tage);58;57;56;55;56;55;55;54
Sonstige Forderungen;4200;4400;4550;5200;5400;5600;5850;6100
Summe Umlaufvermögen;65200;67400;69150;72500;75900;79000;82350;84800
Verbindlichkeiten aus LuL;-24500;-25800;-26500;-28200;-30000;-31200;-32500;-33500
  DPO (Tage);52;53;53;54;55;55;55;54
Sonstige Verbindlichkeiten;-8500;-9200;-9800;-12185;-10500;-10800;-11200;-13388
Summe kurzfr. Verbindlichkeiten;-33000;-35000;-36300;-40385;-40500;-42000;-43700;-46888
Net Working Capital;32200;32400;32850;32115;35400;37000;38650;37912
NWC in % vom Umsatz;17.8%;17.2%;17.0%;15.8%;17.5%;17.1%;17.3%;16.2%
Cash Conversion Cycle (Tage);72;71;70;68;69;68;68;66
