Position,Q1_2024,Q2_2024,Q3_2024,Q4_2024,Q1_2025,Q2_2025,Q3_2025,Q4_2025,YoY_Q4_%
Revenue,42500,45800,44200,48500,46500,51600,49800,58500,20.6%
Cost of Goods Sold,-24500,-26400,-25500,-28000,-26800,-29800,-28700,-33800,20.7%
Gross Profit,18000,19400,18700,20500,19700,21800,21100,24700,20.5%
Selling Expenses,-4200,-4500,-4350,-4800,-4600,-5100,-4900,-5800,20.8%
Administrative Expenses,-5100,-5500,-5300,-5800,-5600,-6200,-6000,-7000,20.7%
Other Operating Income,850,920,880,970,930,1030,1000,1170,20.6%
EBITDA,9550,10320,9930,10870,10430,11530,11200,13070,20.2%
Depreciation,-1800,-1850,-1880,-1920,-1900,-1950,-2000,-2100,9.4%
EBIT,7750,8470,8050,8950,8530,9580,9200,10970,22.6%
Interest Income,35,40,38,42,45,52,48,58,38.1%
Interest Expense,-620,-650,-640,-680,-660,-700,-690,-740,8.8%
Financial Result,-585,-610,-602,-638,-615,-648,-642,-682,6.9%
EBT,7165,7860,7448,8312,7915,8932,8558,10288,23.8%
Income Tax,-2150,-2358,-2234,-2494,-2375,-2680,-2567,-3086,23.8%
Net Income,5015,5502,5214,5818,5540,6252,5991,7202,23.8%
