Position;Q1_2024;Q2_2024;Q3_2024;Q4_2024;Q1_2025;Q2_2025;Q3_2025;Q4_2025
Cashflow betriebliche Tätigkeit;3200000;3850000;3420000;4165000;5800000;6520000;5980000;7002000
  davon Jahresüberschuss;1520000;1850000;1680000;2265000;4200000;4850000;4280000;3932000
  davon Abschreibungen;1950000;1950000;1950000;1950000;2100000;2120000;2120000;2120000
  davon Working Capital;-270000;50000;-210000;-50000;-500000;-450000;-420000;950000
Cashflow Investitionstätigkeit;-2500000;-2800000;-2650000;-3700000;-4200000;-4850000;-4520000;-4750000
  davon Sachanlagen;-2100000;-2400000;-2200000;-3100000;-3500000;-4100000;-3800000;-4000000
  davon immaterielle Vermögenswerte;-400000;-400000;-450000;-600000;-700000;-750000;-720000;-750000
Cashflow Finanzierungstätigkeit;-200000;-350000;-180000;1730000;-1000000;-1200000;-1150000;-150000
  davon Kreditaufnahme/-tilgung;300000;150000;320000;2230000;-200000;-400000;-350000;550000
  davon Dividenden;-500000;-500000;-500000;-500000;-800000;-800000;-800000;-700000
Nettoveränderung Liquidität;500000;700000;590000;2195000;600000;470000;310000;2102000
Liquidität Periodenbeginn;18500000;19000000;19700000;20290000;22485000;23085000;23555000;23865000
Liquidität Periodenende;19000000;19700000;20290000;22485000;23085000;23555000;23865000;25967000
