Rank,Customer_Name,Customer_ID,Industry,Revenue_2025_EUR,Revenue_2024_EUR,Growth_%,Share_of_Total_%
1,Volkswagen AG,C001,Automotive,8500000,7200000,18.1%,4.1%
2,Siemens AG,C002,Industrial,7200000,6500000,10.8%,3.5%
3,BMW Group,C003,Automotive,6800000,5900000,15.3%,3.3%
4,Bosch GmbH,C004,Automotive,6200000,5400000,14.8%,3.0%
5,BASF SE,C005,Chemicals,5500000,4800000,14.6%,2.7%
6,Daimler AG,C006,Automotive,5200000,4500000,15.6%,2.5%
7,SAP SE,C007,Technology,4800000,4200000,14.3%,2.3%
8,Bayer AG,C008,Healthcare,4500000,3900000,15.4%,2.2%
9,Continental AG,C009,Automotive,4200000,3600000,16.7%,2.0%
10,Deutsche Telekom,C010,Telecom,3800000,3300000,15.2%,1.8%
11,Henkel AG,C011,Consumer,3500000,3000000,16.7%,1.7%
12,ThyssenKrupp AG,C012,Industrial,3200000,2800000,14.3%,1.6%
13,Fresenius SE,C013,Healthcare,2900000,2500000,16.0%,1.4%
14,E.ON SE,C014,Energy,2700000,2300000,17.4%,1.3%
15,Adidas AG,C015,Consumer,2500000,2200000,13.6%,1.2%
16,Infineon Technologies,C016,Technology,2300000,2000000,15.0%,1.1%
17,Deutsche Post DHL,C017,Logistics,2100000,1800000,16.7%,1.0%
18,ZF Friedrichshafen,C018,Automotive,1950000,1700000,14.7%,0.9%
19,Merck KGaA,C019,Healthcare,1800000,1550000,16.1%,0.9%
20,Lufthansa Group,C020,Aviation,1650000,1400000,17.9%,0.8%
,Top 20 Total,,,82300000,71200000,15.6%,40.0%
,Other Customers,,,123700000,107800000,14.7%,60.0%
,Grand Total,,,206000000,179000000,15.1%,100.0%
