Abteilung;Jan;Feb;Mär;Apr;Mai;Jun;Jul;Aug;Sep;Okt;Nov;Dez;Avg_FTE;Δ_vs_PY
Geschäftsführung;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;0
Finanzen;18.0;18.0;18.5;18.5;19.0;19.0;19.0;19.0;19.5;19.5;20.0;20.0;18.9;2
Personal;12.0;12.0;12.0;12.5;12.5;13.0;13.0;13.0;13.0;13.5;13.5;14.0;12.8;2
IT;25.0;25.5;26.0;26.5;27.0;27.5;28.0;28.0;28.5;29.0;29.5;30.0;27.5;5
Marketing;15.0;15.0;15.5;15.5;16.0;16.0;16.5;16.5;17.0;17.0;17.5;18.0;16.3;3
Vertrieb Inland;42.0;42.0;43.0;43.5;44.0;44.5;45.0;45.0;45.5;46.0;46.5;47.0;44.5;5
Vertrieb Export;28.0;28.0;28.5;29.0;29.5;30.0;30.0;30.5;31.0;31.5;32.0;32.5;30.0;4
Produktion;185.0;185.0;188.0;190.0;192.0;195.0;195.0;196.0;198.0;200.0;202.0;205.0;194.3;20
Qualität;22.0;22.0;22.5;22.5;23.0;23.0;23.5;23.5;24.0;24.0;24.5;25.0;23.3;3
Logistik;35.0;35.0;36.0;36.5;37.0;37.5;38.0;38.0;38.5;39.0;39.5;40.0;37.5;5
F&E;32.0;32.5;33.0;33.5;34.0;34.5;35.0;35.5;36.0;36.5;37.0;38.0;34.8;6
Einkauf;15.0;15.0;15.0;15.5;15.5;16.0;16.0;16.0;16.5;16.5;17.0;17.0;15.9;2
Gesamt;434.0;435.0;443.0;448.5;454.5;461.0;464.0;466.0;472.5;477.5;484.0;491.5;461.0;57
