Entity,Report_Type,Account,Period,Scenario,Currency,Value,Unit
Corp_Global,P&L,Revenue,2025-01,Actual,EUR,14500000,absolute
Corp_Global,P&L,Revenue,2025-01,Budget,EUR,14200000,absolute
Corp_Global,P&L,Revenue,2025-01,Forecast,EUR,14350000,absolute
Corp_Global,P&L,Revenue,2025-02,Actual,EUR,13600000,absolute
Corp_Global,P&L,Revenue,2025-02,Budget,EUR,13800000,absolute
Corp_Global,P&L,COGS,2025-01,Actual,EUR,-7500000,absolute
Corp_Global,P&L,COGS,2025-01,Budget,EUR,-7350000,absolute
Corp_Global,P&L,COGS,2025-02,Actual,EUR,-7020000,absolute
Corp_Global,P&L,Gross_Profit,2025-01,Actual,EUR,7000000,absolute
Corp_Global,P&L,Gross_Margin,2025-01,Actual,EUR,48.3,percent
Corp_Global,P&L,EBITDA,2025-01,Actual,EUR,2550000,absolute
Corp_Global,P&L,EBITDA_Margin,2025-01,Actual,EUR,17.6,percent
Corp_Global,Balance,Total_Assets,2025-01,Actual,EUR,219950000,absolute
Corp_Global,Balance,Current_Assets,2025-01,Actual,EUR,99900000,absolute
Corp_Global,Balance,Non_Current_Assets,2025-01,Actual,EUR,118600000,absolute
Corp_Global,Balance,Total_Equity,2025-01,Actual,EUR,90540000,absolute
Corp_Global,Balance,Total_Liabilities,2025-01,Actual,EUR,128110000,absolute
Corp_Global,Cashflow,Operating_CF,2025-01,Actual,EUR,5800000,absolute
Corp_Global,Cashflow,Investing_CF,2025-01,Actual,EUR,-4200000,absolute
Corp_Global,Cashflow,Financing_CF,2025-01,Actual,EUR,-1000000,absolute
Corp_DACH,P&L,Revenue,2025-01,Actual,EUR,6200000,absolute
Corp_DACH,P&L,Revenue,2025-01,Budget,EUR,6000000,absolute
Corp_DACH,P&L,EBITDA,2025-01,Actual,EUR,1240000,absolute
Corp_Nordics,P&L,Revenue,2025-01,Actual,EUR,2350000,absolute
Corp_Nordics,P&L,EBITDA,2025-01,Actual,EUR,400000,absolute
Corp_Southern,P&L,Revenue,2025-01,Actual,EUR,3800000,absolute
Corp_Southern,P&L,EBITDA,2025-01,Actual,EUR,608000,absolute
Corp_UK,P&L,Revenue,2025-01,Actual,GBP,2800000,absolute
Corp_UK,P&L,EBITDA,2025-01,Actual,GBP,420000,absolute
Corp_US,P&L,Revenue,2025-01,Actual,USD,4200000,absolute
Corp_US,P&L,EBITDA,2025-01,Actual,USD,588000,absolute
