Position;IST H1;BUD H1;FC H1;VJ H1
Umsatz;59700000;61600000;60500000;55000000
Materialkosten;-23880000;-24640000;-24200000;-22000000
Personalkosten;-17910000;-18480000;-18150000;-16500000
Sonstige Betriebskosten;-5970000;-6160000;-6050000;-5500000
EBITDA;11940000;12320000;12100000;11000000
Abschreibungen;-2388000;-2464000;-2420000;-2200000
EBIT;9552000;9856000;9680000;8800000
Zinsergebnis;-597000;-616000;-605000;-550000
EBT;8955000;9240000;9075000;8250000
Steuern;-2686500;-2772000;-2722500;-2475000
Jahresergebnis;6268500;6468000;6352500;5775000
