Kunde;Umsatz IST;Umsatz VJ;Veraenderung
Automobil-Konzern Deutschland AG;12500000;11200000;11.6%
Europaeische Maschinenbau GmbH & Co. KG;9800000;9200000;6.5%
Internationale Technologie Holding SE;8500000;7800000;9.0%
Norddeutsche Industriewerke GmbH;7200000;6800000;5.9%
Sueddeutsche Praezisionstechnik AG;6500000;6200000;4.8%
Bayerische Fertigungssysteme GmbH;5800000;5500000;5.5%
Rheinische Produktionsanlagen KG;5200000;5000000;4.0%
Westfaelische Automatisierung GmbH;4800000;4600000;4.3%
Saechsische Werkzeugmaschinen AG;4500000;4200000;7.1%
Hannoversche Industrietechnik SE;4200000;4000000;5.0%
Schweizerische Praezision AG;3800000;3500000;8.6%
Oesterreichischer Maschinenkonzern;3500000;3400000;2.9%
Belgische Antriebstechnologie NV;3200000;3000000;6.7%
Niederlaendische Systemtechnik BV;2900000;2800000;3.6%
Franzoesische Industriegruppe SA;2700000;2600000;3.8%
Sonstige Kunden;19900000;18800000;5.9%
Gesamt;105000000;98600000;6.5%
