Abteilung;IST;BUD;Abweichung
Forschung und Entwicklung Produktinnovation;2800000;2900000;-100000
Vertrieb und Kundenbetreuung International;1950000;2100000;-150000
Produktion und Qualitaetssicherung Werk Nord;3200000;3100000;100000
Finanzen und Controlling Konzernzentrale;1100000;1150000;-50000
Personal und Organisationsentwicklung;780000;820000;-40000
Einkauf und Lieferantenmanagement Global;650000;680000;-30000
IT und Digitalisierung Infrastruktur;920000;900000;20000
Marketing und Unternehmenskommunikation;1200000;1250000;-50000
Logistik und Warenverteilung Zentrallager;1400000;1350000;50000
Rechtsabteilung und Compliance Management;450000;480000;-30000
Gesamt;14450000;14730000;-280000
