Abteilung;FTE IST;FTE BUD;Kosten IST;Kosten BUD
Produktentwicklung und Technische Innovation;42;45;4200000;4500000
Vertrieb und Kundenbetreuung Deutschland;28;30;2520000;2700000
Vertrieb und Kundenbetreuung International;18;20;1980000;2200000
Produktion und Fertigung Standort Nord;85;88;5950000;6160000
Produktion und Fertigung Standort Sued;62;65;4340000;4550000
Qualitaetsmanagement und Zertifizierung;15;16;1200000;1280000
Finanzwesen und Konzerncontrolling;18;18;1620000;1620000
Personal und Organisationsentwicklung;12;13;1080000;1170000
IT Infrastruktur und Digitalisierung;16;18;1600000;1800000
Einkauf und Lieferantenmanagement Global;14;15;1120000;1200000
Gesamt;310;328;25610000;27180000
