Week,Opening_Balance,Customer_Receipts_FC1,Customer_Receipts_FC2,Customer_Receipts_FC3,Supplier_Payments_FC1,Supplier_Payments_FC2,Supplier_Payments_FC3,Payroll_FC1,Payroll_FC2,Payroll_FC3,Other_Payments_FC1,Closing_Balance_FC1,Closing_Balance_FC2,Closing_Balance_FC3
W1,15.2,8.5,8.7,8.6,-5.2,-5.1,-5.15,-2.8,-2.85,-2.82,-0.8,14.9,15.1,15.0
W2,16.1,7.2,7.4,7.3,-4.8,-4.7,-4.75,0.0,0.0,0.0,-0.7,17.8,18.1,17.95
W3,15.8,9.1,9.3,9.2,-5.5,-5.4,-5.45,0.0,0.0,0.0,-0.9,18.5,18.9,18.7
W4,16.5,6.8,7.0,6.9,-4.6,-4.5,-4.55,-2.9,-2.95,-2.92,-0.7,15.1,15.5,15.3
W5,15.9,8.9,9.1,9.0,-5.3,-5.2,-5.25,0.0,0.0,0.0,-0.8,18.7,19.1,18.9
W6,16.8,7.5,7.7,7.6,-4.9,-4.8,-4.85,0.0,0.0,0.0,-0.7,19.7,20.1,19.9
W7,16.2,9.2,9.4,9.3,-5.6,-5.5,-5.55,-2.9,-2.95,-2.92,-0.9,16.0,16.4,16.2
W8,17.1,7.0,7.2,7.1,-4.7,-4.6,-4.65,0.0,0.0,0.0,-0.7,18.7,19.1,18.9
W9,16.5,9.0,9.2,9.1,-5.4,-5.3,-5.35,0.0,0.0,0.0,-0.8,19.3,19.7,19.5
W10,17.4,7.3,7.5,7.4,-5.0,-4.9,-4.95,-3.0,-3.05,-3.02,-0.7,16.0,16.4,16.2
W11,16.8,9.3,9.5,9.4,-5.7,-5.6,-5.65,0.0,0.0,0.0,-0.9,19.5,19.9,19.7
W12,17.7,7.2,7.4,7.3,-4.8,-4.7,-4.75,0.0,0.0,0.0,-0.7,19.4,19.8,19.6
W13,17.1,8.8,9.0,8.9,-5.5,-5.4,-5.45,-3.0,-3.05,-3.02,-0.8,16.6,17.0,16.8
