Profit & Loss Statement - Manufacturing Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FY 2025 | Values in TEUR | PY 2024 IST vs FC 2025 vs BUD 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Position,Jan PY IST,Jan FC,Jan BUD,Feb PY IST,Feb FC,Feb BUD,Mar PY IST,Mar FC,Mar BUD,Apr PY IST,Apr FC,Apr BUD,May PY IST,May FC,May BUD,Jun PY IST,Jun FC,Jun BUD,Jul PY IST,Jul FC,Jul BUD,Aug PY IST,Aug FC,Aug BUD,Sep PY IST,Sep FC,Sep BUD,Oct PY IST,Oct FC,Oct BUD,Nov PY IST,Nov FC,Nov BUD,Dec PY IST,Dec FC,Dec BUD
Revenue,1850,1905,1758,1720,1772,1634,2050,2111,1947,1980,2039,1881,2150,2214,2042,2320,2389,2204,2080,2142,1976,1890,1946,1795,2250,2317,2137,2380,2451,2261,2520,2595,2394,2750,2832,2612
COGS,-1017,-1047,-967,-946,-974,-899,-1127,-1161,-1071,-1089,-1121,-1034,-1182,-1217,-1123,-1276,-1314,-1212,-1144,-1178,-1087,-1039,-1070,-987,-1237,-1274,-1175,-1309,-1348,-1244,-1386,-1427,-1317,-1512,-1557,-1437
Gross Profit,833,858,791,774,798,735,923,950,876,891,918,847,968,997,919,1044,1075,992,936,964,889,851,876,808,1013,1043,962,1071,1103,1017,1134,1168,1077,1238,1275,1175
S&M Expenses,-185,-190,-176,-172,-177,-163,-205,-211,-195,-198,-204,-188,-215,-221,-204,-232,-239,-220,-208,-214,-198,-189,-195,-180,-225,-232,-214,-238,-245,-226,-252,-260,-239,-275,-283,-261
G&A Expenses,-148,-152,-140,-138,-142,-131,-164,-169,-156,-158,-163,-150,-172,-177,-163,-186,-191,-176,-166,-171,-158,-151,-156,-144,-180,-185,-171,-190,-196,-181,-202,-208,-192,-220,-227,-209
R&D Expenses,-55,-57,-53,-52,-53,-49,-62,-63,-59,-59,-61,-56,-65,-66,-61,-70,-72,-66,-62,-64,-59,-57,-58,-54,-68,-69,-64,-71,-74,-68,-76,-78,-72,-83,-85,-78
Other Op. Income,18,19,17,17,18,16,21,21,19,20,20,19,22,22,20,23,24,22,21,21,20,19,19,18,23,23,21,24,24,22,25,26,24,28,28,26
Other Op. Expenses,-12,-12,-11,-11,-12,-11,-14,-14,-13,-13,-14,-12,-15,-15,-14,-16,-16,-15,-14,-14,-13,-13,-13,-12,-15,-16,-14,-16,-16,-15,-17,-17,-16,-18,-19,-17
EBITDA,451,466,428,418,432,397,499,514,472,483,496,460,523,540,497,563,581,537,507,522,481,460,473,436,548,564,520,580,596,549,612,631,582,670,689,636
Depreciation,-92,-95,-88,-86,-89,-82,-103,-106,-97,-99,-102,-94,-108,-111,-102,-116,-119,-110,-104,-107,-99,-95,-97,-90,-113,-116,-107,-119,-123,-113,-126,-130,-120,-138,-142,-131
EBIT,359,371,340,332,343,315,396,408,375,384,394,366,415,429,395,447,462,427,403,415,382,365,376,346,435,448,413,461,473,436,486,501,462,532,547,505
Interest Income,5,5,5,5,5,5,6,6,5,5,6,5,6,6,5,6,6,6,6,6,5,5,5,5,6,6,6,6,7,6,7,7,6,7,7,7
Interest Expense,-28,-29,-27,-26,-27,-25,-31,-32,-29,-30,-31,-28,-32,-33,-31,-35,-36,-33,-31,-32,-30,-28,-29,-27,-34,-35,-32,-36,-37,-34,-38,-39,-36,-41,-42,-39
EBT,336,347,318,311,321,295,371,382,351,359,369,343,389,402,369,418,432,400,378,389,357,342,352,324,407,419,387,431,443,408,455,469,432,498,512,473
Income Tax,-100.8,-104.1,-95.4,-93.3,-96.3,-88.5,-111.3,-114.6,-105.3,-107.7,-110.7,-102.9,-116.7,-120.6,-110.7,-125.4,-129.6,-120,-113.4,-116.7,-107.1,-102.6,-105.6,-97.2,-122.1,-125.7,-116.1,-129.3,-132.9,-122.4,-136.5,-140.7,-129.6,-149.4,-153.6,-141.9
Net Income,235.2,242.9,222.6,217.7,224.7,206.5,259.7,267.4,245.7,251.3,258.3,240.1,272.3,281.4,258.3,292.6,302.4,280,264.6,272.3,249.9,239.4,246.4,226.8,284.9,293.3,270.9,301.7,310.1,285.6,318.5,328.3,302.4,348.6,358.4,331.1
