Position,Q1_FC1,Q1_FC2,Q1_BUD,Q2_FC1,Q2_FC2,Q2_BUD,Q3_FC1,Q3_FC2,Q3_BUD,Q4_FC1,Q4_FC2,Q4_BUD
Umsatzerlöse,28500,29070,30000,32300,32946,34000,29450,30039,31000,35150,35853,37000
Materialaufwand,-15675,-15989,-16500,-17765,-18120,-18700,-16198,-16522,-17050,-19333,-19719,-20350
Rohertrag,12825,13081,13500,14535,14826,15300,13253,13517,13950,15818,16134,16650
Personalaufwand,-5130,-5234,-5400,-5814,-5930,-6120,-5301,-5407,-5580,-6327,-6454,-6660
Sonstige betr. Aufwendungen,-2565,-2617,-2700,-2907,-2965,-3060,-2651,-2704,-2790,-3164,-3227,-3330
EBITDA,5130,5230,5400,5814,5931,6120,5301,5406,5580,6327,6453,6660
Abschreibungen,-1140,-1163,-1200,-1292,-1318,-1360,-1178,-1202,-1240,-1406,-1434,-1480
EBIT,3990,4067,4200,4522,4613,4760,4123,4204,4340,4921,5019,5180
Zinsergebnis,-285,-291,-300,-323,-329,-340,-294,-300,-310,-351,-358,-370
EBT,3705,3776,3900,4199,4284,4420,3829,3904,4030,4570,4661,4810
Steuern,-1111,-1133,-1170,-1260,-1285,-1326,-1149,-1171,-1209,-1371,-1398,-1443
Jahresüberschuss,2594,2643,2730,2939,2999,3094,2680,2733,2821,3199,3263,3367
