Position,RF_Q1_Jan,RF_Q2_Apr,RF_Q3_Jul,RF_Q4_Oct,Delta_Q4_vs_Q1,Delta_%
Revenue,125000,127500,129000,131500,6500,5.2%
COGS,-68750,-70125,-70950,-72325,-3575,5.2%
Gross Profit,56250,57375,58050,59175,2925,5.2%
OpEx,-33750,-34425,-34830,-35505,-1755,5.2%
EBITDA,22500,22950,23220,23670,1170,5.2%
D&A,-6250,-6375,-6450,-6575,-325,5.2%
EBIT,16250,16575,16770,17095,845,5.2%
Net Finance,-1875,-1913,-1935,-1973,-98,5.2%
EBT,14375,14663,14835,15123,748,5.2%
Tax,-4313,-4399,-4451,-4537,-224,5.2%
Net Income,10063,10264,10385,10586,523,5.2%
