Position,LY_2023_Actual,PY_2024_Actual,CY_2025_Actual,CAGR_3Y
Revenue,142000,156200,171820,10.0%
Cost of Goods Sold,-78100,-85910,-94501,10.0%
Gross Profit,63900,70290,77319,10.0%
Operating Expenses,-38340,-42174,-46391,10.0%
EBITDA,25560,28116,30928,10.0%
Depreciation,-11360,-12496,-13746,10.0%
EBIT,14200,15620,17182,10.0%
Interest Net,-2130,-2343,-2577,10.0%
EBT,12070,13277,14605,10.0%
Income Tax,-3621,-3983,-4381,10.0%
Net Income,8449,9294,10223,10.0%
Gross Margin %,45.0%,45.0%,45.0%,-
EBITDA Margin %,18.0%,18.0%,18.0%,-
Net Margin %,5.9%,5.9%,5.9%,-
