GuV Mid-Year Forecast Update - Logistics SE,,,,,,,
FY 2025 | TEUR | Budget vs Mid-Year FC Update,,,,,,,
Position,H1 Actual,H2 BUD orig,H2 FC Update,FY BUD,FY FC Update,Δ FC vs BUD,Δ %
Umsatzerlöse,78500,84000,81200,162500,159700,-2800,-0.02
Transportkosten,-47100,-50400,-48720,-97500,-95820,1680,-0.02
Deckungsbeitrag,31400,33600,32480,65000,63880,-1120,-0.02
Personalkosten,-15700,-16800,-16240,-32500,-31940,560,-0.02
Fahrzeugkosten,-7850,-8400,-8120,-16250,-15970,280,-0.02
Verwaltung,-3925,-4200,-4060,-8125,-7985,140,-0.02
Sonstige Kosten,-1963,-2100,-2030,-4063,-3993,70,-0.02
EBITDA,1962,2100,2030,4062,3992,-70,-0.02
Abschreibungen,-2355,-2520,-2436,-4875,-4791,84,-0.02
EBIT,-393,-420,-406,-813,-799,14,-0.02
Zinsen,-785,-840,-812,-1625,-1597,28,-0.02
EBT,-1178,-1260,-1218,-2438,-2396,42,-0.02
