Position,FC2_Version1,FC2_Version2,FC2_Final,V2_vs_V1_Delta,Final_vs_V2_Delta,Total_Adjustment_%
Net Revenue,88000,89760,91535,1760,1775,4.0%
Variable Costs,-44000,-44880,-45768,-880,-888,4.0%
Contribution Margin,44000,44880,45768,880,888,4.0%
Fixed Costs,-26400,-26928,-27461,-528,-533,4.0%
EBITDA,17600,17952,18307,352,355,4.0%
Depreciation,-7040,-7181,-7323,-141,-142,4.0%
EBIT,10560,10771,10984,211,213,4.0%
Financial Result,-1320,-1346,-1373,-26,-27,4.0%
EBT,9240,9425,9611,185,186,4.0%
Taxes,-2772,-2827,-2883,-55,-56,4.0%
Net Profit,6468,6597,6728,130,130,4.0%
