Position,Jan_PY_IST,Jan_FC,Jan_BUD,Feb_PY_IST,Feb_FC,Feb_BUD,Mrz_PY_IST,Mrz_FC,Mrz_BUD
Bruttoumsatz,4200,4410,4500,3800,3990,4100,4500,4725,4800
Rabatte/Skonti,-210,-221,-225,-190,-200,-205,-225,-236,-240
Nettoumsatz,3990,4190,4275,3610,3791,3895,4275,4489,4560
Wareneinsatz,-2394,-2514,-2565,-2166,-2274,-2337,-2565,-2693,-2736
Rohertrag,1596,1676,1710,1444,1516,1558,1710,1796,1824
Personalkosten Verkauf,-519,-545,-556,-469,-493,-506,-556,-584,-593
Filialkosten,-399,-419,-428,-361,-379,-390,-428,-449,-456
Zentrale Kosten,-239,-251,-256,-217,-227,-234,-256,-269,-274
Marketing,-159,-167,-171,-144,-152,-156,-171,-180,-182
EBITDA,280,294,300,253,266,273,300,315,320
Abschreibungen,-80,-84,-86,-72,-76,-78,-86,-90,-91
EBIT,200,210,214,181,190,195,214,225,228
Zinsen,-40,-42,-43,-36,-38,-39,-43,-45,-46
EBT,160,168,171,145,152,156,171,180,183
Steuern,-48,-50,-51,-43,-46,-47,-51,-54,-55
Jahresergebnis,112,118,120,101,106,109,120,126,128
