Position,FC_Initial,FC_Iter1,FC_Iter2,FC_Final,Total_Adjustment,Adjustment_%
Total Assets,185000,183150,184075,184537,-463,-0.3%
Fixed Assets,95000,94050,94525,94762,-238,-0.3%
Current Assets,90000,89100,89550,89775,-225,-0.3%
Inventories,28000,27720,27860,27930,-70,-0.3%
Receivables,47000,46530,46765,46882,-118,-0.3%
Cash,15000,14850,14925,14963,-37,-0.2%
Total Liab & Equity,185000,183150,184075,184537,-463,-0.3%
Equity,85000,84150,84575,84787,-213,-0.3%
Long-term Debt,55000,54450,54725,54862,-138,-0.3%
Short-term Liabilities,45000,44550,44775,44888,-112,-0.2%
Trade Payables,28000,27720,27860,27930,-70,-0.3%
