Kapitalflussrechnung - Energy Solutions SE,,,,,,
Annual IST Comparison | EUR Mio.,,,,,,
Position,2023 IST,2024 IST,2025 IST,Δ 24 vs 23,Δ 25 vs 24,CAGR
Operativer Cashflow,,,,,,
Jahresüberschuss,42.5,46.8,51.5,4.3,4.7,0.1
Abschreibungen,28,30.8,33.9,2.8,3.1,0.1
Veränderung Rückstellungen,3.2,3.5,3.9,0.3,0.4,0.1
Veränderung Working Capital,-8.5,-9.4,-10.3,-0.9,-0.9,0
Sonstige nicht zahlungswirksam,2.8,3.1,3.4,0.3,0.3,0.1
CF aus operativer Tätigkeit,68,74.8,82.4,6.8,7.6,
Investiver Cashflow,,,,,,
Investitionen Sachanlagen,-35,-38.5,-42.4,-3.5,-3.9,0
Investitionen imm. Vermögen,-8,-8.8,-9.7,-0.8,-0.9,0
Erlöse aus Anlagenverkauf,2.5,2.8,3,0.3,0.2,0.1
CF aus Investitionstätigkeit,-40.5,-44.5,-49.1,-4,-4.6,
Finanzierungs-Cashflow,,,,,,
Aufnahme Finanzverbindl.,15,16.5,18.2,1.5,1.7,0.1
Tilgung Finanzverbindl.,-12,-13.2,-14.5,-1.2,-1.3,0
Dividenden,-18,-19.8,-21.8,-1.8,-2,0
CF aus Finanzierungstätig.,-15,-16.5,-18.1,-1.5,-1.6,
Zahlungsmittelveränderung,12.5,13.8,15.2,1.3,1.4,
Anfangsbestand Zahlungsmittel,45,55.5,68.3,10.5,12.8,0.23
Endbestand Zahlungsmittel,57.5,69.3,83.5,11.8,14.2,
