Position,PY_2024_IST,CY_2025_FC,NY_2026_BUD,Delta_25_vs_24,Delta_26_vs_25
EBITDA,45000,49500,54450,4500,4950
Change in Working Capital,-4500,-4950,-5445,-450,-495
Cash Taxes Paid,-9000,-9900,-10890,-900,-990
Other Operating Items,1800,1980,2178,180,198
Operating Cash Flow,33300,36630,40293,3330,3663
CapEx Maintenance,-12000,-13200,-14520,-1200,-1320
CapEx Growth,-8000,-10000,-12000,-2000,-2000
Total CapEx,-20000,-23200,-26520,-3200,-3320
Free Cash Flow,13300,13430,13773,130,343
FCF Margin %,8.9%,8.1%,7.5%,-0.8%,-0.6%
FCF Conversion %,29.6%,27.1%,25.3%,-2.5%,-1.8%
