Cost_Element,FC_Sept,FC_Nov,FC_Jan_Final,BUD_Original,FC_Final_vs_BUD,FC_Improvement_%
Direct Materials,18500.0,18130.0,17945.0,19000.0,-1055,-5.6%
Direct Labor,6200.0,6076.0,6015.0,6400.0,-385,-6.0%
Manufacturing Overhead,4800.0,4704.0,4656.0,5000.0,-344,-6.9%
Quality Control,1200.0,1176.0,1164.0,1250.0,-86,-6.9%
Maintenance,1500.0,1470.0,1456.0,1550.0,-94,-6.1%
Energy,2200.0,2156.0,2134.0,2300.0,-166,-7.2%
Packaging,1800.0,1764.0,1746.0,1850.0,-104,-5.6%
Waste/Scrap,450.0,441.0,437.0,470.0,-33,-7.0%
Total Manufacturing Cost,36650.0,35917.0,35553.0,37820.0,-2267,-6.0%
Cost per Unit,36.65,35.92,35.55,37.82,-6.0%,
Units Produced,1000000.0,1000000.0,1000000.0,1000000.0,-,
