KPI,H1_BUD,H1_FC,H1_Actual,H1_Act_vs_BUD,H2_BUD,H2_FC,H2_Actual,FY_BUD,FY_FC
Revenue (EUR m),135.0,131.0,132.5,-2.5,140.0,137.0,-,275.0,268.0
Gross Profit (EUR m),57.4,55.2,56.0,-1.4,59.5,57.8,-,116.9,113.0
Gross Margin (%),42.5%,42.1%,42.3%,-0.2%,42.5%,42.2%,-,42.5%,42.2%
EBITDA (EUR m),24.3,23.2,23.5,-0.8,25.2,24.3,-,49.5,47.5
EBITDA Margin (%),18.0%,17.7%,17.7%,-0.3%,18.0%,17.7%,-,18.0%,17.7%
EBIT (EUR m),17.6,16.8,17.0,-0.6,18.2,17.5,-,35.8,34.3
Net Income (EUR m),11.5,10.9,11.1,-0.4,11.9,11.4,-,23.4,22.3
Order Intake (EUR m),145.0,140.0,142.5,-2.5,150.0,146.0,-,295.0,286.0
Backlog (EUR m),195.0,190.0,192.5,-2.5,205.0,198.5,-,205.0,198.5
Headcount (FTE),865,858,860,-5,880,870,-,880,870
