Financial Ratio Analysis - Healthcare AG,,,,,,
3-Year Actual Trend | Key Ratios,,,,,,
Ratio Category,Ratio,2023 IST,2024 IST,2025 IST,Trend,Industry Avg
Profitability,Gross Margin %,62.5,63.2,64,↑,58
Profitability,Operating Margin %,18.2,19.1,20,↑,15
Profitability,Net Margin %,12.5,13.2,14,↑,10.5
Profitability,ROE %,15.8,16.5,17.2,↑,14
Profitability,ROA %,8.2,8.6,9,↑,7.5
Profitability,ROIC %,12.1,12.8,13.5,↑,11
Liquidity,Current Ratio,1.85,1.92,2,↑,1.5
Liquidity,Quick Ratio,1.42,1.48,1.55,↑,1.2
Liquidity,Cash Ratio,0.45,0.48,0.52,↑,0.35
Leverage,Debt/Equity,0.65,0.58,0.52,↓,0.8
Leverage,Debt/EBITDA,2.1,1.9,1.7,↓,2.5
Leverage,Interest Coverage,8.5,9.2,10,↑,6
Efficiency,Asset Turnover,0.65,0.68,0.71,↑,0.6
Efficiency,Inventory Turnover,4.8,5.1,5.4,↑,4.5
Efficiency,Receivables Turnover,6.2,6.5,6.8,↑,5.8
