KPI,Base_Target,Forecast,Stretch_Target,FC_vs_Base,FC_vs_Stretch,Achievement_Probability
Revenue Growth %,8.0%,7.5%,10.0%,-0.5%,-2.5%,85%
EBITDA Margin %,18.0%,17.5%,20.0%,-0.5%,-2.5%,80%
Net Profit Margin %,12.0%,11.5%,14.0%,-0.5%,-2.5%,82%
ROIC %,14.0%,13.5%,16.0%,-0.5%,-2.5%,78%
Free Cash Flow Yield %,6.0%,5.8%,7.5%,-0.2%,-1.7%,88%
Customer Retention %,92.0%,91.5%,95.0%,-0.5%,-3.5%,90%
NPS Score,45,43,55,-2,-12,75%
Employee Engagement,75%,73%,80%,-2%,-7%,70%
Carbon Reduction %,10%,9%,15%,-1%,-6%,72%
Digitalization Index,65,62,75,-3,-13,68%
