Cost_Category,PY_Actual,BUD_Initial,BUD_Iter1,BUD_Iter2,BUD_Final,Final_vs_Init,Final_vs_Init_%
Base Salaries,18500.0,20350.0,20757.0,20553.0,20655.0,305,1.5%
Bonuses,2775.0,3053.0,3114.0,3083.0,3098.0,45,1.5%
Social Security,3330.0,3663.0,3736.0,3700.0,3718.0,54,1.5%
Pension Contributions,1480.0,1628.0,1661.0,1644.0,1652.0,24,1.5%
Health Insurance,925.0,1018.0,1038.0,1028.0,1033.0,15,1.5%
Stock-Based Comp,1110.0,1221.0,1246.0,1233.0,1239.0,18,1.5%
Recruitment,555.0,611.0,623.0,617.0,620.0,9,1.5%
Training,370.0,407.0,415.0,411.0,413.0,6,1.5%
Severance,185.0,204.0,208.0,206.0,207.0,3,1.5%
Other Benefits,740.0,814.0,831.0,822.0,826.0,12,1.5%
Total Personnel Cost,29970.0,32967.0,33627.0,33296.0,33461.0,494,1.5%
Cost per FTE,119.88,117.74,118.41,118.21,118.31,0.5%,
Avg FTE,250.0,280.0,284.0,282.0,283.0,3,1.1%
