Revenue Planning - Software AG,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
FY 2025 | EUR Mio. | 4 Scenario Comparison by Quarter,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Revenue Stream,Q1 BUD,Q1 FC1,Q1 FC2,Q1 Target,Q2 BUD,Q2 FC1,Q2 FC2,Q2 Target,Q3 BUD,Q3 FC1,Q3 FC2,Q3 Target,Q4 BUD,Q4 FC1,Q4 FC2,Q4 Target,FY BUD,FY FC2,FY Target
License Revenue,8.5,8.1,8.3,9,9.2,8.7,9,9.7,8.8,8.4,8.6,9.3,10.5,10,10.2,11,,,
SaaS Subscriptions,12,11.6,11.8,12.5,13,12.5,12.8,13.5,12.5,12,12.3,13,14.5,14,14.3,15,,,
Maintenance,6.5,6.3,6.4,6.8,6.8,6.5,6.7,7,6.6,6.4,6.5,6.9,7.1,6.9,7,7.3,,,
Professional Svcs,4.2,4,4.1,4.4,4.5,4.3,4.4,4.7,4.3,4.1,4.2,4.5,5,4.8,4.9,5.2,,,
Training,1.3,1.2,1.25,1.4,1.4,1.3,1.35,1.5,1.35,1.3,1.33,1.45,1.5,1.4,1.45,1.6,,,
Support,2.5,2.4,2.45,2.6,2.6,2.5,2.55,2.7,2.55,2.45,2.5,2.65,2.9,2.8,2.85,3,,,
Total Revenue,,,,,,,,,,,,,,,,,,,
