Period,Opening_Cash_PY,Operating_CF_PY,Investing_CF_PY,Financing_CF_PY,Closing_Cash_PY,Opening_Cash_CY,Operating_CF_CY,Investing_CF_CY,Financing_CF_CY,Closing_Cash_CY,FC_Closing_Cash
January,12.5,3.2,-1.2,-0.3,14.2,19.3,3.5,-1.3,-0.3,21.2,20.8
February,14.2,2.8,-2.8,-0.4,13.8,21.2,3.1,-3.1,-0.5,20.7,20.3
March,13.8,4.0,-1.8,-0.5,15.5,20.7,4.4,-2.0,-0.6,22.5,22.0
April,15.5,2.5,-2.8,-0.4,14.8,22.5,2.8,-3.1,-0.4,21.8,21.3
May,14.8,3.8,-1.8,-0.6,16.2,21.8,4.2,-2.0,-0.8,23.2,22.7
June,16.2,2.2,-2.5,-0.4,15.5,23.2,2.4,-2.8,-0.3,22.5,22.0
July,15.5,3.5,-1.5,-0.3,17.2,22.5,3.9,-1.7,-0.4,24.3,23.8
August,17.2,2.0,-2.2,-0.5,16.5,24.3,2.2,-2.4,-0.6,23.5,23.0
September,16.5,3.8,-1.8,-0.5,18.0,23.5,4.2,-2.0,-0.7,25.0,24.5
October,18.0,2.5,-2.8,-0.5,17.2,25.0,2.8,-3.1,-0.5,24.2,23.7
November,17.2,4.0,-1.8,-0.6,18.8,24.2,4.4,-2.0,-0.8,25.8,25.3
December,18.8,3.2,-2.2,-0.5,19.3,25.8,3.5,-2.4,-0.6,26.3,25.8
