Cash Conversion Cycle Analysis - Distribution Ltd,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
FY 2025 | Days | Multi-Scenario by Quarter,,,,,,,,,,,,
,,,,,,,,,,,,
Metric,Q1 PY IST,Q1 FC,Q1 BUD,Q2 PY IST,Q2 FC,Q2 BUD,Q3 PY IST,Q3 FC,Q3 BUD,Q4 PY IST,Q4 FC,Q4 BUD
DSO (Days Sales Outstanding),48,46,45,50,47,44,47,45,43,52,48,45
DIO (Days Inventory Outstanding),62,60,58,65,62,59,60,58,56,68,64,60
DPO (Days Payables Outstanding),42,43,44,44,45,46,43,44,45,46,47,48
Cash Conversion Cycle,,,,,,,,,,,,
,,,,,,,,,,,,
Working Capital (EUR m),28.5,27.2,26,30.2,28.5,27,27.8,26.5,25.2,32.5,30,28
Revenue (EUR m),85,88.4,90,92,95.7,97.5,88,91.5,93.2,102,106.1,108
WC as % Revenue,,,,,,,,,,,,
